Designator,Mid X,Mid Y,Rotation,Layer
C1,94.8495,-174.635,0.0,top
C10,82.1,-171.7915,90.0,bottom
C11,93.695,-178.0005,0.0,top
C12,93.7065,-179.588,0.0,top
C13,93.7065,-180.096,180.0,bottom
C14,84.5625,-169.3645,0.0,bottom
C15,94.722499,-169.428,180.0,bottom
C16,87.688,-180.970999,270.0,bottom
C17,76.4115,-180.7165,270.0,top
C18,72.7,-181.4,90.0,bottom
C19,101.7,-158.0,90.0,top
C2,94.8495,-176.286,0.0,top
C20,86.4375,-157.7,180.0,top
C21,75.5375,-158.9,180.0,top
C22,81.45,-158.9,0.0,top
C23,94.55,-159.25,0.0,top
C24,101.4,-163.6,270.0,top
C25,71.25,-164.65,90.0,bottom
C26,103.0,-165.6,270.0,top
C27,83.9,-158.35,270.0,top
C28,96.15,-157.65,0.0,top
C3,87.561,-179.065999,270.0,top
C30,118.897349,-152.6,180.0,top
C31,78.1,-149.55,90.0,top
C32,91.05,-149.7,90.0,top
C33,110.0,-161.5,270.0,top
C4,84.971501,-176.54,180.0,top
C5,90.253501,-180.096,0.0,bottom
C6,90.1785,-181.747,0.0,bottom
C7,83.6875,-176.5528,270.0,bottom
C8,82.0492,-176.6276,270.0,bottom
C9,83.6875,-171.8665,90.0,bottom
D1,101.4,-167.075,90.0,top
D2,86.35,-156.15,180.0,top
D3,73.0,-156.4,0.0,top
D4,83.85,-166.85,90.0,top
D5,58.05,-150.45,90.0,top
D6,86.2,-166.85,90.0,top
D7,99.25,-173.35,90.0,top
DB1,69.3,-63.485,270.0,bottom
DB10,69.3,-144.495,270.0,bottom
DB100,150.3,-144.495,270.0,bottom
DB101,159.3,-63.485,270.0,bottom
DB102,159.3,-72.486111,270.0,bottom
DB103,159.3,-81.487222,270.0,bottom
DB104,159.3,-90.488333,270.0,bottom
DB105,159.3,-99.489444,270.0,bottom
DB106,159.3,-108.490555,270.0,bottom
DB107,159.3,-117.491666,270.0,bottom
DB108,159.3,-126.492777,270.0,bottom
DB109,159.3,-135.493888,270.0,bottom
DB11,78.3,-63.485,270.0,bottom
DB110,159.3,-144.495,270.0,bottom
DB111,168.3,-63.485,270.0,bottom
DB112,168.3,-72.486111,270.0,bottom
DB113,168.3,-81.487222,270.0,bottom
DB114,168.3,-90.488333,270.0,bottom
DB115,168.3,-99.489444,270.0,bottom
DB116,168.3,-108.490555,270.0,bottom
DB117,168.3,-117.491666,270.0,bottom
DB118,168.3,-126.492777,270.0,bottom
DB119,168.3,-135.493888,270.0,bottom
DB12,78.3,-72.486111,270.0,bottom
DB120,168.3,-144.495,270.0,bottom
DB121,177.3,-63.485,270.0,bottom
DB122,177.3,-72.486111,270.0,bottom
DB123,177.3,-81.487222,270.0,bottom
DB124,177.3,-90.488333,270.0,bottom
DB125,177.3,-99.489444,270.0,bottom
DB126,177.3,-108.490555,270.0,bottom
DB127,177.3,-117.491666,270.0,bottom
DB128,177.3,-126.492777,270.0,bottom
DB129,177.3,-135.493888,270.0,bottom
DB13,78.3,-81.487222,270.0,bottom
DB130,177.3,-144.495,270.0,bottom
DB131,186.3,-63.485,270.0,bottom
DB132,186.3,-72.486111,270.0,bottom
DB133,186.3,-81.487222,270.0,bottom
DB134,186.3,-90.488333,270.0,bottom
DB135,186.3,-99.489444,270.0,bottom
DB136,186.3,-108.490555,270.0,bottom
DB137,186.3,-117.491666,270.0,bottom
DB138,186.3,-126.492777,270.0,bottom
DB139,186.3,-135.493888,270.0,bottom
DB14,78.3,-90.488333,270.0,bottom
DB140,186.3,-144.495,270.0,bottom
DB15,78.3,-99.489444,270.0,bottom
DB16,78.3,-108.490555,270.0,bottom
DB17,78.3,-117.491666,270.0,bottom
DB18,78.3,-126.492777,270.0,bottom
DB19,78.3,-135.493888,270.0,bottom
DB2,69.3,-72.486111,270.0,bottom
DB20,78.3,-144.495,270.0,bottom
DB21,87.3,-63.485,270.0,bottom
DB22,87.3,-72.486111,270.0,bottom
DB23,87.3,-81.487222,270.0,bottom
DB24,87.3,-90.488333,270.0,bottom
DB25,87.3,-99.489444,270.0,bottom
DB26,87.3,-108.490555,270.0,bottom
DB27,87.3,-117.491666,270.0,bottom
DB28,87.3,-126.492777,270.0,bottom
DB29,87.3,-135.493888,270.0,bottom
DB3,69.3,-81.487222,270.0,bottom
DB30,87.3,-144.495,270.0,bottom
DB31,96.3,-63.485,270.0,bottom
DB32,96.3,-72.486111,270.0,bottom
DB33,96.3,-81.487222,270.0,bottom
DB34,96.3,-90.488333,270.0,bottom
DB35,96.3,-99.489444,270.0,bottom
DB36,96.3,-108.490555,270.0,bottom
DB37,96.3,-117.491666,270.0,bottom
DB38,96.3,-126.492777,270.0,bottom
DB39,96.3,-135.493888,270.0,bottom
DB4,69.3,-90.488333,270.0,bottom
DB40,96.3,-144.495,270.0,bottom
DB41,105.3,-63.485,270.0,bottom
DB42,105.3,-72.486111,270.0,bottom
DB43,105.3,-81.487222,270.0,bottom
DB44,105.3,-90.488333,270.0,bottom
DB45,105.3,-99.489444,270.0,bottom
DB46,105.3,-108.490555,270.0,bottom
DB47,105.3,-117.491666,270.0,bottom
DB48,105.3,-126.492777,270.0,bottom
DB49,105.3,-135.493888,270.0,bottom
DB5,69.3,-99.489444,270.0,bottom
DB50,105.3,-144.495,270.0,bottom
DB51,114.3,-63.485,270.0,bottom
DB52,114.3,-72.486111,270.0,bottom
DB53,114.3,-81.487222,270.0,bottom
DB54,114.3,-90.488333,270.0,bottom
DB55,114.3,-99.489444,270.0,bottom
DB56,114.3,-108.490555,270.0,bottom
DB57,114.3,-117.491666,270.0,bottom
DB58,114.3,-126.492777,270.0,bottom
DB59,114.3,-135.493888,270.0,bottom
DB6,69.3,-108.490555,270.0,bottom
DB60,114.3,-144.495,270.0,bottom
DB61,123.3,-63.485,270.0,bottom
DB62,123.3,-72.486111,270.0,bottom
DB63,123.3,-81.487222,270.0,bottom
DB64,123.3,-90.488333,270.0,bottom
DB65,123.3,-99.489444,270.0,bottom
DB66,123.3,-108.490555,270.0,bottom
DB67,123.3,-117.491666,270.0,bottom
DB68,123.3,-126.492777,270.0,bottom
DB69,123.3,-135.493888,270.0,bottom
DB7,69.3,-117.491666,270.0,bottom
DB70,123.3,-144.495,270.0,bottom
DB71,132.3,-63.485,270.0,bottom
DB72,132.3,-72.486111,270.0,bottom
DB73,132.3,-81.487222,270.0,bottom
DB74,132.3,-90.488333,270.0,bottom
DB75,132.3,-99.489444,270.0,bottom
DB76,132.3,-108.490555,270.0,bottom
DB77,132.3,-117.491666,270.0,bottom
DB78,132.3,-126.492777,270.0,bottom
DB79,132.3,-135.493888,270.0,bottom
DB8,69.3,-126.492777,270.0,bottom
DB80,132.3,-144.495,270.0,bottom
DB81,141.3,-63.485,270.0,bottom
DB82,141.3,-72.486111,270.0,bottom
DB83,141.3,-81.487222,270.0,bottom
DB84,141.3,-90.488333,270.0,bottom
DB85,141.3,-99.489444,270.0,bottom
DB86,141.3,-108.490555,270.0,bottom
DB87,141.3,-117.491666,270.0,bottom
DB88,141.3,-126.492777,270.0,bottom
DB89,141.3,-135.493888,270.0,bottom
DB9,69.3,-135.493888,270.0,bottom
DB90,141.3,-144.495,270.0,bottom
DB91,150.3,-63.485,270.0,bottom
DB92,150.3,-72.486111,270.0,bottom
DB93,150.3,-81.487222,270.0,bottom
DB94,150.3,-90.488333,270.0,bottom
DB95,150.3,-99.489444,270.0,bottom
DB96,150.3,-108.490555,270.0,bottom
DB97,150.3,-117.491666,270.0,bottom
DB98,150.3,-126.492777,270.0,bottom
DB99,150.3,-135.493888,270.0,bottom
DIR1,237.825,-73.5,270.0,bottom
DIR10,17.8,-103.9825,90.0,bottom
DIR11,17.75,-73.515,90.0,bottom
DIR12,183.535,-18.2,180.0,bottom
DIR13,155.54125,-18.2,180.0,bottom
DIR14,127.5475,-18.2,180.0,bottom
DIR15,99.55375,-18.2,180.0,bottom
DIR16,71.56,-18.2,180.0,bottom
DIR2,237.825,-103.975,270.0,bottom
DIR3,237.8,-134.45,270.0,bottom
DIR4,71.565,-194.2,0.0,bottom
DIR5,99.555,-194.2,0.0,bottom
DIR6,127.545,-194.2,0.0,bottom
DIR7,155.535,-194.2,0.0,bottom
DIR8,183.525,-194.2,0.0,bottom
DIR9,17.8,-134.45,90.0,bottom
DO1,73.8,-67.925,270.0,bottom
DO10,82.8,-67.925,270.0,bottom
DO100,172.8,-67.925,270.0,bottom
DO101,172.8,-76.92625,270.0,bottom
DO102,172.8,-85.9275,270.0,bottom
DO103,172.8,-94.92875,270.0,bottom
DO104,172.8,-103.93,270.0,bottom
DO105,172.8,-112.93125,270.0,bottom
DO106,172.8,-121.9325,270.0,bottom
DO107,172.8,-130.93375,270.0,bottom
DO108,172.8,-139.935,270.0,bottom
DO109,181.8,-67.925,270.0,bottom
DO11,82.8,-76.92625,270.0,bottom
DO110,181.8,-76.92625,270.0,bottom
DO111,181.8,-85.9275,270.0,bottom
DO112,181.8,-94.92875,270.0,bottom
DO113,181.8,-103.93,270.0,bottom
DO114,181.8,-112.93125,270.0,bottom
DO115,181.8,-121.9325,270.0,bottom
DO116,181.8,-130.93375,270.0,bottom
DO117,181.75,-139.935,270.0,bottom
DO12,82.8,-85.9275,270.0,bottom
DO13,82.8,-94.92875,270.0,bottom
DO14,82.8,-103.93,270.0,bottom
DO15,82.8,-112.93125,270.0,bottom
DO16,82.8,-121.9325,270.0,bottom
DO17,82.8,-130.93375,270.0,bottom
DO18,82.8,-139.935,270.0,bottom
DO19,91.8,-67.925,270.0,bottom
DO2,73.8,-76.92625,270.0,bottom
DO20,91.8,-76.92625,270.0,bottom
DO21,91.8,-85.9275,270.0,bottom
DO22,91.8,-94.92875,270.0,bottom
DO23,91.8,-103.93,270.0,bottom
DO24,91.8,-112.93125,270.0,bottom
